epoch,step,test_loss/dataloader_idx_0,test_loss/dataloader_idx_1,test_loss/dataloader_idx_2,test_loss/dataloader_idx_3,train_loss
0,49,,,,,4.935837268829346
1,99,,,,,4.261756420135498
2,149,,,,,4.130228519439697
3,199,,,,,3.6179873943328857
4,249,,,,,3.5267300605773926
5,299,,,,,3.496809959411621
6,349,,,,,3.282839775085449
7,399,,,,,3.300356864929199
8,449,,,,,3.1577489376068115
9,499,,,,,3.1876273155212402
10,510,2.900733470916748,6.157098293304443,3.967268466949463,5.928134441375732,
